Loopcount;Interval;Roll;Pitch;Time;Date;Fix;Latitude;Longitude;Speed
58;201;2.583283;-6.086758;12:16:31.00;15/10/22;True;4657.7296;00829.0407;0.44448
59;201;2.290603;-6.119848;12:16:31.20;15/10/22;True;4657.7296;00829.0407;0.40744
60;200;2.265314;-6.122365;12:16:31.40;15/10/22;True;4657.7296;00829.0407;0.35188
61;203;2.198918;-5.975533;12:16:31.60;15/10/22;True;4657.7296;00829.0407;0.31484
62;197;2.257112;-6.040054;12:16:31.80;15/10/22;True;4657.7296;00829.0407;0.31484
63;215;2.67069;-6.043888;12:16:32.00;15/10/22;True;4657.7295;00829.0407;0.2778
64;184;2.601826;-5.891232;12:16:32.20;15/10/22;True;4657.7295;00829.0407;0.24076
65;202;2.518365;-5.951389;12:16:32.40;15/10/22;True;4657.7295;00829.0407;0.25928
66;199;2.268098;-5.747705;12:16:32.60;15/10/22;True;4657.7295;00829.0407;0.25928
67;200;2.130492;-5.745826;12:16:32.80;15/10/22;True;4657.7295;00829.0408;0.25928
68;202;1.962785;-5.760801;12:16:33.00;15/10/22;True;4657.7296;00829.0408;0.25928
69;198;1.978367;-5.756174;12:16:33.20;15/10/22;True;4657.7296;00829.0408;0.2778
70;202;1.850644;-5.72704;12:16:33.40;15/10/22;True;4657.7296;00829.0408;0.2778
71;198;1.871181;-5.730416;12:16:33.60;15/10/22;True;4657.7296;00829.0409;0.29632
72;201;1.950961;-5.832267;12:16:33.80;15/10/22;True;4657.7297;00829.0409;0.31484
73;199;2.055736;-5.808934;12:16:34.00;15/10/22;True;4657.7297;00829.0409;0.31484
74;200;2.064014;-5.93961;12:16:34.20;15/10/22;True;4657.7297;00829.0410;0.3704
75;200;2.113119;-6.113927;12:16:34.40;15/10/22;True;4657.7298;00829.0410;0.40744
76;200;2.14701;-6.249446;12:16:34.60;15/10/22;True;4657.7298;00829.0410;0.40744
77;201;2.049778;-6.432792;12:16:34.80;15/10/22;True;4657.7298;00829.0410;0.42596
78;198;1.894486;-6.400476;12:16:35.00;15/10/22;True;4657.7298;00829.0410;0.463
79;202;1.958162;-6.734054;12:16:35.20;15/10/22;True;4657.7299;00829.0409;0.51856
80;197;1.793029;-6.858456;12:16:35.40;15/10/22;True;4657.7298;00829.0409;0.53708
81;200;1.000902;-6.672396;12:16:35.60;15/10/22;True;4657.7298;00829.0409;0.51856
82;200;-0.4559884;-6.749009;12:16:35.80;15/10/22;True;4657.7298;00829.0409;0.44448
83;200;-0.2213489;-6.806345;12:16:36.00;15/10/22;True;4657.7298;00829.0408;0.40744
84;203;0.2306687;-6.545382;12:16:36.20;15/10/22;True;4657.7297;00829.0408;0.33336
85;198;0.2325461;-6.422439;12:16:36.40;15/10/22;True;4657.7297;00829.0408;0.24076
86;205;0.7961956;-6.638705;12:16:36.60;15/10/22;True;4657.7297;00829.0408;0.1852
87;195;1.126753;-6.609474;12:16:36.80;15/10/22;True;4657.7297;00829.0408;0.16668
88;202;0.8504999;-6.806996;12:16:37.00;15/10/22;True;4657.7297;00829.0408;0.14816
89;199;0.6477509;-6.634894;12:16:37.20;15/10/22;True;4657.7297;00829.0408;0.0926
90;198;1.296541;-6.881193;12:16:37.40;15/10/22;True;4657.7298;00829.0409;0.03704
91;199;1.064785;-6.861652;12:16:37.60;15/10/22;True;4657.7298;00829.0409;0.11112
92;201;0.06392091;-5.983412;12:16:37.80;15/10/22;True;4657.7299;00829.0410;0.20372
93;200;0.7353703;-6.341686;12:16:38.00;15/10/22;True;4657.7300;00829.0410;0.20372
